MFN,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,DATE EXTREME,ANNEE,PASSAGE GED,SORT FINAL,OBSERVATIONS
00481,0475/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),FEVRIER 2014,2014,OUI,CONSERVATION,
00482,0476/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MARS 2014,2014,OUI,CONSERVATION,
00483,0477/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JUILLET 2014,2014,OUI,CONSERVATION,
00484,0478/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),AOUT 2014,2014,OUI,CONSERVATION,
00485,0479/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",,,,,DESTRUCTION,
00046,0045/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",10 MARS 2010,2010,OUI,DESTRUCTION,
00047,0046/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",11 MARS 2010,2010,OUI,DESTRUCTION,
00048,0047/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",12 MARS 2010,2010,OUI,DESTRUCTION,
00049,0047/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE LIVRAISON ROSE,"LIVRAISON, PRODUIT PETROLIER, PRODUIT BLANC, MOUVEMENT, DEPOT DE BINGO","(BORDEREAU DE LIVRAISON, BON DE CHARGEMENT)",12 MARS 2010,2010,OUI,DESTRUCTION,
00050,0048/LIV,LIVRAISON DES PRODUITS PETROLIERS:BORDEREAU DE,,(ETAT),SEPTEMBRE 2014,2014,OUI,CONSERVATION,
00486,0480/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),OCTOBRE 2014,2014,OUI,CONSERVATION,
00487,0481/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ STD SODIGAZ,"LIVRAISON, SOTIE GAZ, STD SODIGAZ, GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),DECEMBRE 2014,2014,OUI,CONSERVATION,
00488,0482/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JANVIER  2014,2014,OUI,CONSERVATION,
00489,0483/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),FEVRIER 2014,2014,OUI,CONSERVATION,
00490,0484/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),MAI 2014,2014,OUI,CONSERVATION,
00491,0485/LIV,LIVRAISON DES PRODUITS PETROLIERS:ETAT JOURNALIER DES SORTIES GAZ TOTAL BURKINA,"LIVRAISON, SOTIE GAZ, TOTAL BURKINA , GAZ BUTANE, SERVICE GAZ, DEPOT DE BINGO",(ETAT),JUIN  2014,2014,OUI,CONSERVATION,
