reference,cote,auteur,titre,publication,pagination,descripteurs
019AU.0001,019AU.0001,Villeguérin Erik (de la),Dictionnaire fiduciaire financier,"Pari : éd. Villeguérin, 1988",414p,/DICTIONNAIRE//FINANCE//COMPTABILITE/
020CM.0008,020CM.0008,MARC GERARD,Visserie de qualité : catalogue,"lièg : MARC-GERARD, s.d.",127p,/CATALOGUE//VISSERIE//MATERIEL/
021CM.0009,021CM.0009,MANUTAN,Manutan export : editions spéciales,"Paris : MANUTAN, s.d.",273p,/CATALOGUE//EQUIPEMENT//MATERIEL/
022CM.0010,022CM.0010,MANUTAN,Manutan Export,"Paris : MANUTAN, s.d.",705p,/CATALOGUE//EQUIPEMENT//MATERIEL/
023CM.0011,023CM.0011,GERNI,CATALOGUE 1996,"Morangis : GERNI, s.d.",47p,/CATALOGUE//EQUIPEMENT//MATERIEL/
024CE.0006,024CE.0006,LEFEBVRE Francis,L'actualité des éditions Francis Lefebvre,"Levallois : EFL, 2000",no pag,/CATALOGUE//EDITION//LIVRE/
025AN.0014,025AN.0014,BCEAO,Notes d'information et statistiques Janvier 1989,"Dakar : BCEAO, 1989",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
026AN.0015,026AN.0015,BCEAO,Notes d'information et statistiques fevrier 1989,"Dakar : BCEAO, 1989",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
027AN.0016,027AN.0016,BCEAO,Notes d'information et statistiques Mars 1989,"Dakar : BCEAO, 1989",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
028AN.0017,028AN.0017,BCEAO,Notes d'information et statistiques Avril 1989,"Dakar : BCEAO, 1989",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
029AN.0018,029AN.0018,BCEAO,Notes d'information et statistiques Mai 1989,"Dakar : BCEAO, 1989",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
030AN.0019,030AN.0019,BCEAO,Notes d'information et statistiques Juillet 1989,"Dakar : BCEAO, 1989",Mult pag,/ANNUAIRE//STATISTIQUE//BCEAO/
031CM.0012,031CM.0012,JM BRUNEAU,N°1 de l'équipement de bureau par correspondance 1995,"s.l. : JM BRUNEAU, 1995",251p,/CATALOGUE//EQUIPEMENT//BUREAU/
032CM.0013,032CM.0013,MANUTAN,Export Manutan : Matériel de manutention et d'équipement industriel,"Paris : MANUTAN, 1995",952p,/CATALOGUE//EQUIPEMENT//INDUSTRIE/
033CM.0014,033CM.0014,MANUTAN,Export Manutan : Materiel de manutention et d'équipement industriel,"Paris : MANUTAN, 1996",1016p,/CATALOGUE//EQUIPEMENT//INDUSTRIE/
034AN.0020,034AN.0020,CCIA-BF,Annuaire des entreprises 1994,"Ouagadougou : CCIA, 1994",NO PAG,/ANNUAIRE//ENTREPRISE//BURKINA FASO/
035AN.0021,035AN.0021,CEDEAO,Annuaire financier de la CEDEAO 1996/1998 = ECOWAS financial directory 1996/1998,"s.l. : CEDEAO, 1998",386p,/ANNUAIRE//FINANCE//CEDEAO/
036AN.0022,036AN.0022,BURKINA FASO,Annuaire officiel du Ministère de l'emploi du travail et de la sécurité sociale 1998/1999,".l. : s.n., 1999",207p,/ANNUAIRE//EMPLOI//SECURITE SOCIALE//BURKINA FASO/
037AN.0023,037AN.0023,MALAYSIA,The national chamber of commerce and industry of Malaysia 1997,"Kuala Lumpur : NCCIM, 1997",96p,/REPERTOIRE//COMMERCE//INDUSTRIE//MALAISIE/
038CE.0007,038CE.0007,TECHNICAL STANDARDS SERVICE LTD,Energy catalogue 1998-1999,"s.l. : INTERNATIONAL EDITION, 1999",19p,/CATALOGUE//ENERGIE/
039CE.0008,039CE.0008,Petrolum indutry and related sciences and technologies,,"s.l. : éd. TECHNIP, s.d.",72p,/CATALOGUE//INDUSTRIE PETROLIERE//
040CE.0009,040CE.0009,EDITION TECHNIP,Catalogue 1995 : our books in English at the end of this catalog.,"s.l. : Ed TECHNIP, s.d.",189p,/CATALOGUE//EDITION//LIVRE/
041CM.0015,041CM.0015,MANUTAN,Matériel de manutention et d'équipement industriel,"Paris : MANUTAN, 1991",760p,/CATALOGUE//EQUIPEMENT//INDUSTRIE/
042CE.0010,042CE.0010,TECHNICAL STANDARDS SERVICE LT,Energy catalogue 1999 N°1,"s.l. : INTERNATIONAL EDITION, 1999",19p,/CATALOGUE//ENERGIE/
