ID,TITRE_DOSSIER,N_PIECES;,DATE;,OBSERVATIONS,CONTENU;,ANA_DIPLOM,CLI_FOUR;,L'INTERIEUR_DE_LA_COUR_DU_SIEGE,SIEGE_DE_LA_SONABHY,SONABHY,CONTRE_L'INCENDIE,AUX_COMPTES_I,AUX_COMPTES_II,AUX_COMPTES_III,INCENDIE_I,INCENDIE_II,WAGONS-CITERNES_A_BINGO_I,WAGONS-CITERNES_A_BINGO_II,DEPOT_DE_BOBO,"""TITRE_DOSSIER","DATE;""",BINGO,BINGO_II,SIEGE,II,AU_DEPOT,DU_SIEGE,DE_COMPTE,COMPTABILITE,
1188,BONS DE COMMANDE N°2815-2940,,2000,,"FOURNITURE DE BUREAU, EQUIPEMENT","(BON DE COMMANDE, FACTURE)",,,,,,,,,,,,,,,,,,,,,,,,
1189,BONS DE COMMANDE N°2941-3350,,2000-2001,,"FOURNITURE DE BUREAU, EQUIPEMENT","(BON DE COMMANDE, FACTURE)",,,,,,,,,,,,,,,,,,,,,,,,
1190,BONS DE COMMANDE N°3351-3514,,2001,,"FOURNITURE DE BUREAU, EQUIPEMENT","(BON DE COMMANDE, FACTURE)",,,,,,,,,,,,,,,,,,,,,,,,
1191,BONS DE COMMANDE N°3515-3669,,2001,,"FOURNITURE DE BUREAU, EQUIPEMENT","(BON DE COMMANDE, FACTURE)",,,,,,,,,,,,,,,,,,,,,,,,
1192,OFFRES DE SERVICE 1995-1996,,1995-1996,,"FOURNITURE DE BUREAU, EQUIPEMENT",(LETTRE ARRIVEE),,,,,,,,,,,,,,,,,,,,,,,,
1193,OFFRES DE SERVICE 2000,,2000,,"FOURNITURE DE BUREAU, EQUIPEMENT",(LETTRE ARRIVEE),,,,,,,,,,,,,,,,,,,,,,,,
1194,OFFRES DE SERVICE 2001-2002,,2001-2002,,"FOURNITURE DE BUREAU, EQUIPEMENT",(LETTRE ARRIVEE),,,,,,,,,,,,,,,,,,,,,,,,
1195,OFFRES DE SERVICE 1998-2001,,1998-2001,,"FOURNITURE DE BUREAU, EQUIPEMENT","(LETTRE ARRIVEE, FACTURE, NOTE DE SERVICE, ORDRE DE",,,,,,,,,,,,,,,,,,,,,,,,
1196,OFFRES DE SERVICE 2001-2002,,2001-2002,,"FOURNITURE DE BUREAU, EQUIPEMENT",(LETTRE ARRIVEE),,,,,,,,,,,,,,,,,,,,,,,,
1197,DIVERS COURRIERS 2002,,2002,,,"(ETTRE ARRIVEE, LETTRE DEPART, FAX)",,,,,,,,,,,,,,,,,,,,,,,,
1198,FACTURES PROFORMA 1995,,1995,,"FOURNITURE DE BUREAU, EQUIPEMENT",(FACTURE),,,,,,,,,,,,,,,,,,,,,,,,
1199,INVENTAIRES 1997-1998,,1997-1998,,"FOURNITURE DE BUREAU, PRODUIT D'ENTRETIEN",(INVENTAIRE),,,,,,,,,,,,,,,,,,,,,,,,
1200,ACHATS FOURNITURES DE BUREAU ET PRODUITS D'ENTRETIEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,,,2002,,"FOURNITURE DE BUREAU, EQUIPEMENT, PRODUIT","(BON DE COMMANDE, FACTURE)",,,,,,,,,,,,,,,,,,,,,,,,
1202,DIVERS COURRIERS 2002,,2002,,"COURRIER, MATERIEL","(LETTRE, NOTE DE SERVICE, ORDRE DE MISSION, FAX,",,,,,,,,,,,,,,,,,,,,,,,,
1203,APPEL D'OFFRE POUR L'AMENAGEMENT DE PARKING A,,1999,,"APPEL D'OFFRE, PARKING, SONABHY, ENOS",(DEVIS),,ENOS,,,,,,,,,,,,,,,,,,,,,,
1204,APPEL D'OFFRE POUR LA CONSTRUCTION DE LA SALLE,,1999,,"SALLE D'ARCHIVES, SONABHY, EMBTP, L'ESPACE","(APPEL D'OFFRE, PLAN ARCHITECTURAL, AVIS, OFFRE",,,,,,,,,,,,,,,,,,,,,,,,
1205,APPEL D'OFFRE : REFECTION DU SIEGE 1999,,1999,,"REFECTION, SONABHY, L'ESPACE, EGTB","(APPEL D'OFFRE, ETUDE)",,,,,,,,,,,,,,,,,,,,,,,,
1206,APPEL D'OFFRE D'EXTENSION DU TERRAIN DE BASKET-BALL,,1999,,"GBTP, BASKET-BALL, MESONGO, SONABHY, L'ESPACE","(APPEL D'OFFRE, ETUDE)",,,,,,,,,,,,,,,,,,,,,,,,
1207,APPEL D'OFFRE POUR L'ENTRETIEN ET LE NETTOYAGE DU,,1999-2000,,"NETTOYAGE, ENTRETIEN, SONABHY, BIE, BALAI AUTOMATIC,",(APPEL D'OFFRE),,,"BIE, BALAI AUTOMATIC,",,,,,,,,,,,,,,,,,,,,,
1208,APPEL D'OFFRE DE FOURNITURE INFORMATIQUE A LA,,1999,,"FOURNITURE INFORMATIQUE, GRAPHI SERVICE, LABEL",(APPEL D'OFFRE),,,,"GBI, GRAPHI SERVICE, LABEL INFORMATIQUE, TIB",,,,,,,,,,,,,,,,,,,,
1209,ENTREE BINGO JANVIER DECADE 1-2-3,,"JANVIER, 2002",,"ENTREE BINGO, GAZ, PRODUIT BLANC","(BON, BORDEREAU DE LIVRAISON)",,,,,,,,,,,,,,,,,,,,,,,,
1210,ENTREE BINGO FEVRIER DECADE 1-2-3,,"FEVRIER, 2002",,"ENTREE BINGO, GAZ, PRODUIT BLANC","(BON, BORDEREAU DE LIVRAISON)",,,,,,,,,,,,,,,,,,,,,,,,
1211,ENTREE BINGO MARS DECADE 1-2-3,,"MARS, 2002",,"ENTREE BINGO, GAZ, PRODUIT BLANC","(BON, BORDEREAU DE LIVRAISON)",,,,,,,,,,,,,,,,,,,,,,,,
1212,ENTREE BINGO DECADE 1-2-3,,"AVRIL, 2002",,"ENTREE BINGO, GAZ, PRODUIT BLANC","(BON, BORDEREAU DE LIVRAISON)",,,,,,,,,,,,,,,,,,,,,,,,
1213,ENTREE BINGO MAI DECADE 1-2-3,,"MAI, 2002",,"ENTREE BINGO, GAZ, PRODUIT BLANC","(BON, BORDEREAU DE LIVRAISON)",,,,,,,,,,,,,,,,,,,,,,,,
1214,ENTREE BINGO JUIN DECADE 1-2-3,,"JUIN, 2002",,"ENTREE BINGO, GAZ, PRODUIT BLANC","(BON, BORDEREAU DE LIVRAISON)",,,,,,,,,,,,,,,,,,,,,,,,
