date_versement,date_enregistrement,provenance,cote,titre,contenu,analyse,dates_extremes,annee,duree_utilite,sort_final,initial,niveau_description,importance_materielle,ged
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0045/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE FEVRIER 2010 A MAI 2012,TRANSMISSION; COURRIER, REGISTRE, FEVRIER 2010 - MAI 2012,2010; 2011; 2012, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0046/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU COURRIER DE DECEMBRE 2010 A FEVRIER 2011,TRANSMISSION; COURRIER, REGISTRE, DECEMBRE 2010 - FEVRIER 2011,2010; 2011, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0047/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABILITE DE MARS 1993 A MARS 1998,TRANSMISSION; COURRIER, REGISTRE, MARS 1993 - MARS 1998,1993; 1994; 1995; 1996; 1997; 1998, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0048/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABILITE DE MARS 1998 A MARS 2000,TRANSMISSION; COURRIER, REGISTRE, MARS 1998 A MARS 2000,1998; 1999; 2000, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0049/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABILITE DE MARS 1998 A FEVRIER 2010,TRANSMISSION; COURRIER, COMPTABILITE, MARS 1998 - FEVRIER 2010,1998; 1999; 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0050/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABILITE DE SEPTEMBRE 1998 A NOVEMBRE 2001,TRANSMISSION; COMPTABILITE, REGISTRE, SEPTEMBRE 1998 - NOVEMBRE 2001,1998; 1999; 2000; 2001, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0051/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DU SERVICE DE LA COMPTABILTE DE JUILLET 1998 A JANVIER 2001,TRANSMISSION; COMPTABILITE, REGISTRE, JUILLET 1998 - JANVIER 2001,1998; 1999; 2000; 2001, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0052/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABILITE DE JANVIER 2001 A MARS 2003,TRANSMISSION; COMPTABILITE, REGISTRE, JANVIER 2001 - MARS 2003,2001; 2002; 2003, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0053/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABILITE DE MARS 2003 A NOVEMBRE 2004,TRANSMISSION; COMPTABILITE, REGISTRE, MARS 2003 - NOVEMBRE 2004,2003; 2004, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0054/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVCE DE LA COMPTABILITE DE OCTOBRE 2004 A FEVRIER 2006,TRANSMISSION; COMPTABILITE, REGISTRE, OCTOBRE 2004 - FEVRIER 2006,2004; 2005; 2006, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0055/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSSION DU SERVICE DE LA COMPTABILITE DE FEVRIER 2006 A AVRIL 2007,TRANSMISSION; COMPTABILITE, REGISTRE, FEVRIER 2006 - AVRIL 2007,2006; 2007, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0056/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABLITE DE AVRIL 2007 A JUIN 2008,TRANSMISSION; COMPTABILITE, REGISTRE, AVRIL 2007 - JUIN 2008,2007; 2008, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0057/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABILITE DE DECEMBRE 2010 A DECEMDRE 2013,TRANSMISSION; COMPTABILITE; FACTURE, REGISTRE, DECEMBRE 2010 - DECEMBRE 2013,2010; 2011; 2012; 2013, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0058/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABILITE DE JANVIER 2011 A MAI 2014,TRANSMISSION; COMPTABILITE; FACTURE, CAHIER, JANVIER 2011 - MAI 2014,2011; 2012; 2013; 2014, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0059/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABILITE DE DECEMBRE 2010 A MAI 2015,TRANSMISSION; COMPTABILITE; FACTURE, CAHIER, DECEMBRE 2010 - MAI 2015,2010; 2011; 2012; 2013; 2014; 2015, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
 ANCIEN FONDS, 03-03-2022, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, 0060/RTC, COMMUNICATION INTERNE ET EXTERNE : REGISTRE DE TRANSMISSION DU SERVICE DE LA COMPTABILITE DE DECEMBRE 2010 A DECEMBRE 2017,TRANSMISSION; COMPTABILITE; FACTURE, CAHIER, DECEMBRE 2010 - DECEMBRE 2017,2010; 2011; 2012; 2013; 2014; 2015; 2016, VALIDITE, CONSERVATION DEFINITIVE, ACI, PIECE, 01 PIECE,
