cote,auteur,titre,adresse,description_tech,descrip_matiere
REL.009,SONABHY,,"OUAGADOUGOU : SONABHY, 2023",,DONNEE INFORMATIQUESONABHYSIEVDEBDDGAZ
REL.010,SONABHY,,,,DONNEE INFORMATIQUESONABHYSIEVDEBDDDOCUBASE
REL.011,SONABHY,Données informatiques : Sauvegarde des données,"Ouagadougou : SONABHY, 2023",,/DONNEE INFORMATIQUE//BASE DE
REL.012,SONABHY,Données informatiques : HDD 1023-01 : SAUVEGARDE DE,"Ouagadougou : SONABHY, 2023",DISQUE DUR EXTERNE,/DONNEES INFORMATIQUE//BASES DE
REL.013,SONABHY,Données informatiques : HDD 1023-02 : Sauvegarde BD,"Ouagadougou : SONABHY, 2023",,/DONNEES INFORMATIQUE//BASES DE
REL.014,SONABHY,Données informatiques : Sauvegarde du 15012024 : BD,"Ouagadougou : SONABHY, 2024",DISQUE DUR EXTERNE,/DONNEE INFORMATIQUE//BASE DE
PHO.046,SONABHY,ATELIER BROW-BAG SUR LE MECANISME FIXATION DES PRISE,,PHOTO  EN COUL.,/ HYDROCARBURE//PRIX//FORMATION//BROW-BAG//SONABHY/
PHO.047,SONABHY,ACTIVITE SPORTIVES :AS SONABHY,,PHOTO  EN COUL.,/ SPORT//AS-SONABHY//HAND-BALL//FOOTBALL/
PHO.048,SONABHY,PRESENTATION DE VOEUX DE LA SONABHY EN 2018,,107 PHOTOS  EN COUL.,/ PRESENTATION VOEUX//NOUVEL AN//SONABHY/
PHO.049,SONABHY,CEREMONIE DE REMISE OFFICIELLE DE 02 BUS A LA MUTUELLE,,68 PHOTOS  EN COUL.,/SONABHY//BUS//MUTRAS
PHO.050,SONABHY,CEREMONIE DE PASSATION DE CHARGE ENTRE PARE NAZAIRE,,54 PHOTOS  EN COUL.,/PASSATION DE CHARGE//PARE NAZAIRE//ILBOUDO SEYDOU/
PHO.051,SONABHY,CEREMONIE D'HOMMAGE ET DE RECONNAISSANCE DES ANCIENS,,74 PHOTOS  EN COUL.,/HOMMAGE//ANCIEN DIRECTEUR
PHO.052,SONABHY,JOURNEE DE CONVENTION DU PERSONNEL SUR LE LANCEMENT DU,,122 PHOTOS  EN COUL.,/LANCEMENT//PROJET INFORMATIQUE//PROGICIEL DE GESTION
